
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    192.168.1.137:59366    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:59491    139.45.197.233:443     ESTABLISHED     96620
  TCP    192.168.1.137:59654    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:59699    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:59824    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:59845    2.17.98.104:443        ESTABLISHED     96620
  TCP    192.168.1.137:60048    74.125.71.188:5228     ESTABLISHED     28384
  TCP    192.168.1.137:60073    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:60200    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:60438    139.45.197.115:443     ESTABLISHED     96620
  TCP    192.168.1.137:60507    13.89.178.27:443       ESTABLISHED     43016
  TCP    192.168.1.137:60576    82.208.21.34:443       ESTABLISHED     96620
  TCP    192.168.1.137:60608    18.167.10.35:443       ESTABLISHED     96620
  TCP    192.168.1.137:60724    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:60948    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:61091    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:61113    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:61135    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:61350    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:61356    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:61482    47.246.146.193:443     ESTABLISHED     96620
  TCP    192.168.1.137:61747    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:61823    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:61973    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:61978    47.246.50.181:443      ESTABLISHED     96620
  TCP    192.168.1.137:61979    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:62068    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:62189    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:62208    188.114.96.10:443      ESTABLISHED     96620
  TCP    192.168.1.137:62328    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:62359    100.25.101.74:443      ESTABLISHED     96620
  TCP    192.168.1.137:62953    54.187.159.182:443     ESTABLISHED     96620
  TCP    192.168.1.137:63192    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:63312    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:63313    2.17.98.104:443        ESTABLISHED     96620
  TCP    192.168.1.137:63585    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:63672    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:63682    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:63804    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:63834    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:63926    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:63932    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:63975    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:63992    52.97.105.162:443      ESTABLISHED     14656
  TCP    192.168.1.137:63994    52.97.181.66:443       ESTABLISHED     14656
  TCP    192.168.1.137:64104    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:64242    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:64429    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:64510    47.246.50.181:443      ESTABLISHED     96620
  TCP    192.168.1.137:64592    140.82.112.21:443      ESTABLISHED     43016
  TCP    192.168.1.137:64609    172.217.20.14:80       ESTABLISHED     28384
  TCP    192.168.1.137:65001    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:65054    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:65228    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:65307    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:65344    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:65381    47.246.110.43:443      ESTABLISHED     96620
  TCP    192.168.1.137:65423    82.208.21.34:443       ESTABLISHED     96620
  TCP    192.168.1.137:65476    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:65494    192.168.1.1:53         TIME_WAIT       0
  TCP    [::]:135               [::]:0                 LISTENING       1568
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:3306              [::]:0                 LISTENING       6712
  TCP    [::]:33060             [::]:0                 LISTENING       6712
  TCP    [::]:49664             [::]:0                 LISTENING       1324
  TCP    [::]:49665             [::]:0                 LISTENING       1132
  TCP    [::]:49668             [::]:0                 LISTENING       2356
  TCP    [::]:49673             [::]:0                 LISTENING       3840
  TCP    [::]:49678             [::]:0                 LISTENING       5020
  TCP    [::]:49753             [::]:0                 LISTENING       1236
  TCP    [::1]:49685            [::]:0                 LISTENING       6496
  UDP    0.0.0.0:123            *:*                                    10648
  UDP    0.0.0.0:5050           *:*                                    10712
  UDP    0.0.0.0:5353           *:*                                    96620
  UDP    0.0.0.0:5353           *:*                                    34064
  UDP    0.0.0.0:5353           *:*                                    30848
  UDP    0.0.0.0:5353           *:*                                    2284
  UDP    0.0.0.0:5353           *:*                                    28608
  UDP    0.0.0.0:5355           *:*                                    2284
  UDP    0.0.0.0:27036          *:*                                    20252
  UDP    0.0.0.0:49709          *:*                                    2284
  UDP    0.0.0.0:51322          *:*                                    2284
  UDP    0.0.0.0:51628          18.172.242.63:443                      96620
  UDP    0.0.0.0:53552          142.250.201.206:443                    28384
  UDP    0.0.0.0:54115          142.251.143.226:443                    96620
  UDP    0.0.0.0:54383          18.172.242.75:443                      96620
  UDP    0.0.0.0:54860          18.239.255.95:443                      96620
  UDP    0.0.0.0:57911          *:*                                    2284
  UDP    0.0.0.0:58351          2.17.98.104:443                        96620
  UDP    0.0.0.0:58848          18.172.242.63:443                      96620
  UDP    0.0.0.0:60626          142.250.201.206:443                    28384
  UDP    0.0.0.0:62895          216.239.34.223:443                     96620
  UDP    0.0.0.0:63429          18.172.242.107:443                     96620
  UDP    0.0.0.0:64126          173.194.76.84:443                      96620
  UDP    127.0.0.1:1900         *:*                                    25764
  UDP    127.0.0.1:49664        127.0.0.1:49664                        5668
  UDP    127.0.0.1:65181        *:*                                    25764
  UDP    192.168.1.137:137      *:*                                    4
  UDP    192.168.1.137:138      *:*                                    4
  UDP    192.168.1.137:1900     *:*                                    25764
  UDP    192.168.1.137:27036    *:*                                    20252
  UDP    192.168.1.137:65180    *:*                                    25764
  UDP    [::]:123               *:*                                    10648
  UDP    [::]:49709             *:*                                    2284
  UDP    [::]:51322             *:*                                    2284
  UDP    [::]:57911             *:*                                    2284
  UDP    [::1]:1900             *:*                                    25764
  UDP    [::1]:65179            *:*                                    25764
